source_dataset,station_id,latitude,longitude,height,topo_free_disturbance,G_ref
CSIC,LM017_G21,28.29351036,-16.54047798,2333.2784,257.29112452571667,257.7425192873281
CSIC,MI00,28.47066342,-16.37862302,808.2123,238.8924569556234,239.34385171723488
CSIC,MI01,28.4583392,-16.39391355,954.8621,234.4243327511336,234.87572751274504
CSIC,MI02,28.46050423,-16.4196125,812.3271,233.0092213427878,233.4606161043993
CSIC,MI03,28.44794533,-16.4197583,949.1081,234.14066950583776,234.5920642674492
CSIC,MI04,28.43965024,-16.43083415,953.9324,231.1861913594551,231.63758612106656
CSIC,MI05,28.45049732,-16.44162601,650.231,229.42335717945068,229.87475194106213
CSIC,MI06,28.43874897,-16.45138098,630.052,229.95669615604515,230.4080909176566
CSIC,MI07,28.4232184,-16.45561179,735.6161,233.37850565957527,233.82990042118672
CSIC,MI09,28.41547763,-16.47643061,655.6547,233.6465340379277,234.09792879953915
CSIC,ORO00,28.41082329,-16.54524137,132.3808,237.15105935493264,237.6024541165441
CSIC,ORO01,28.41536812,-16.51660529,157.5572,238.73566292194565,239.1870576835571
CSIC,ORO02,28.40462226,-16.51408114,275.4016,238.87344439722293,239.3248391588344
CSIC,ORO03,28.40294173,-16.50103401,626.6807,235.57208676479937,236.0234815264108
CSIC,ORO04,28.37892976,-16.49969958,798.3055,247.3313614197014,247.7827561813129
CSIC,ORO05,28.38133508,-16.53259123,463.0432,245.61011477850448,246.06150954011596
CSIC,ORO06,28.38841739,-16.54054454,335.4242,242.47806128795355,242.929456049565
CSIC,ORO07,28.40602037,-16.53143233,214.1562,239.58876477358103,240.0401595351925
CSIC,ORO08,28.41525923,-16.5286559,127.1123,238.6292559766536,239.08065073826504
IGN,930003,28.470277777777778,-16.247222222222224,54.2687,218.2473189170024,218.45872445805023
IGN,931001,28.475555555555555,-16.24888888888889,72.7279,217.61272172458672,217.82412726563464
IGN,931002,28.471944444444443,-16.255277777777778,96.9381,217.0278976718809,217.2393032129288
IGN,931003,28.46972222222222,-16.259722222222223,106.5977,216.2323720616931,216.443777602741
IGN,931004,28.46444444444444,-16.26222222222222,117.1675,214.1877568564624,214.3991623975103
IGN,931005,28.459166666666665,-16.26388888888889,119.6078,212.3752182731857,212.5866238142336
IGN,932001,28.45888888888889,-16.25611111111111,93.2523,213.4138431920172,213.6252487330651
IGN,932002,28.459444444444443,-16.253333333333334,63.1535,211.6980826448756,211.9094881859235
